node_id,lat,lon
573641,-23.5629908,-46.7039651
573643,-23.5674648,-46.7022294
573644,-23.5729625,-46.6992349
577239,-23.5718306,-46.7020748
582139,-23.5346165,-46.7481485
582142,-23.5499136,-46.7306511
582438,-23.528187,-46.6619198
582442,-23.5172984,-46.656999
582506,-23.5095903,-46.7072515
582544,-23.4582299,-46.7834936
582549,-23.4362186,-46.7862194
582557,-23.410562,-46.8170767
587858,-23.5184344,-46.7317946
587859,-23.517859,-46.7302778
587958,-23.5067974,-46.7222203
587972,-23.5139479,-46.6303459
587976,-23.5135798,-46.6290079
587983,-23.5153989,-46.6292745
587993,-23.55821,-46.6382561
597246,-23.6223436,-46.6279034
597247,-23.6190475,-46.6277148
597269,-23.5689779,-46.608044
597270,-23.5685427,-46.6078851
597282,-23.5510876,-46.6261325
597283,-23.5533268,-46.6252641
597365,-23.5994967,-46.5973498
597417,-23.5622815,-46.6749913
597426,-23.5252524,-46.6253024
597434,-23.5230076,-46.6129726
597440,-23.5245756,-46.602058
597441,-23.5294959,-46.5958315
597447,-23.5267597,-46.5709749
20944547,-23.5321244,-46.6587483
20944548,-23.534842,-46.6601022
20944550,-23.5372021,-46.6535506
20944551,-23.538894,-46.6513228
20944552,-23.5403107,-46.6517752
20944553,-23.5400651,-46.6526531
20944554,-23.5416139,-46.6531738
20944556,-23.5477074,-46.6552234
25614374,-23.5909055,-46.6917202
25614380,-23.5905872,-46.691334
25614437,-23.5891676,-46.6927877
25614493,-23.5891308,-46.6907626
25614663,-23.5867851,-46.6904227
25614665,-23.5868485,-46.692508
25614754,-23.5865498,-46.6897112
25614843,-23.5866989,-46.6926675
25614854,-23.5866075,-46.6902979
25614942,-23.5863137,-46.6930949
25614980,-23.5858709,-46.6932114
25614982,-23.5854542,-46.6930109
25615121,-23.5857927,-46.6905615
25615393,-23.585147,-46.6905049
25615440,-23.5858667,-46.689275
25615502,-23.5847012,-46.6908418
25616603,-23.5833561,-46.6915069
25616668,-23.5782908,-46.6944167
25618442,-23.5762898,-46.695606
25618444,-23.5757262,-46.6959795
25618519,-23.5714685,-46.7007651
25618520,-23.5736667,-46.6979221
25619006,-23.5719385,-46.6991948
25619012,-23.5717977,-46.6981407
25619053,-23.5722494,-46.7022579
25619056,-23.5707748,-46.7011858
25619075,-23.5704877,-46.7029919
25619078,-23.5696309,-46.7034241
25619362,-23.5615199,-46.705205
25619554,-23.5567263,-46.7132057
25619559,-23.5570434,-46.7121982
25619567,-23.5583249,-46.7134757
25619792,-23.5600356,-46.7099894
25619914,-23.5586612,-46.7087599
25619919,-23.5566713,-46.7127485
25620018,-23.5597061,-46.7108973
25620070,-23.5533369,-46.7195391
25620151,-23.5518036,-46.7232715
25620160,-23.5497649,-46.7267552
25621261,-23.5454508,-46.736334
25621263,-23.544565,-46.7372721
25621264,-23.5442345,-46.7376423
25621272,-23.5436406,-46.7346682
25621337,-23.5378578,-46.7411833
25629307,-23.5920405,-46.6946351
25629335,-23.5942865,-46.6947551
25629345,-23.596496,-46.6917757
25629346,-23.5946282,-46.6922781
